context,eta,p0,q0,p50,q50,E50_W,Pr50_I,Pr50_H,Pr50_M,Pr50_D
business,0.05,0.2,0.2,0.375834960864,0.970741897467,1.71089185601,0.364838743043,0,0.605903154424,0.0292581025331
business,0.05,0.2,0.8,0.22319466914,0.995994700098,1.09415892302,0.222300707553,0,0.773693992544,0.00400529990217
business,0.05,0.5,0.5,0.56927769457,0.998735173441,2.83862426496,0.568557657023,0,0.430177516418,0.00126482655882
business,0.05,0.8,0.2,0.866041713665,0.99946140631,4.32658271067,0.865575269063,0,0.133886137247,0.000538593690051
business,0.05,0.8,0.8,0.811031977244,0.999952657091,4.05484637845,0.810993580632,0,0.18895907646,4.73429085528e-05
business,0.15,0.2,0.2,0.38958260251,0.999999415557,1.94790963495,0.389582374821,0,0.610417040736,5.84443051954e-07
business,0.15,0.2,0.8,0.225452343098,0.999999083593,1.12725672024,0.225452136492,0,0.774546947102,9.16406721063e-07
business,0.15,0.5,0.5,0.575884952654,0.999999998526,2.8794247542,0.575884951805,0,0.424115046721,1.47376744142e-09
business,0.15,0.8,0.2,0.870840993513,0.999999999992,4.35420496751,0.870840993506,0,0.129159006486,7.58393348121e-12
business,0.15,0.8,0.8,0.81270292272,0.999999999998,4.06351461359,0.812702922719,0,0.187297077279,1.60604862742e-12
business,0.45,0.2,0.2,0.422641861452,1,2.11320930726,0.422641861452,0,0.577358138548,0
business,0.45,0.2,0.8,0.231470998349,1,1.15735499174,0.231470998349,0,0.768529001651,0
business,0.45,0.5,0.5,0.596966554535,1,2.98483277268,0.596966554535,0,0.403033445465,0
business,0.45,0.8,0.2,0.885005557489,1,4.42502778745,0.885005557489,0,0.114994442511,0
business,0.45,0.8,0.8,0.818453660639,1,4.0922683032,0.818453660639,0,0.181546339361,0
business,1,0.2,0.2,0.490699892468,1,2.45349946234,0.490699892468,0,0.509300107532,0
business,1,0.2,0.8,0.24468902665,1,1.22344513325,0.24468902665,0,0.75531097335,0
business,1,0.5,0.5,0.64124425803,1,3.20622129015,0.64124425803,0,0.35875574197,0
business,1,0.8,0.2,0.909491890827,1,4.54745945414,0.909491890827,0,0.0905081091727,0
business,1,0.8,0.8,0.831294699852,1,4.15647349926,0.831294699852,0,0.168705300148,0
business,1.5,0.2,0.2,0.557000611864,1,2.78500305932,0.557000611864,0,0.442999388136,0
business,1.5,0.2,0.8,0.259145969283,1,1.29572984641,0.259145969283,0,0.740854030717,0
business,1.5,0.5,0.5,0.686722348261,1,3.43361174131,0.686722348261,0,0.313277651739,0
business,1.5,0.8,0.2,0.932272235297,1,4.66136117649,0.932272235297,0,0.0677277647029,0
business,1.5,0.8,0.8,0.844038465772,1,4.22019232886,0.844038465772,0,0.155961534228,0
classroom,0.05,0.2,0.2,0.941527611825,0.917874990117,4.05867901713,0.864204647398,0.0773229644266,0,0.058472388175
classroom,0.05,0.2,0.8,0.996519413312,0.996846668542,4.95327921952,0.993377057297,0.00314235601491,0,0.00348058668808
classroom,0.05,0.5,0.5,0.998104838522,0.990467928402,4.92771853784,0.988590831738,0.00951400678309,0,0.00189516147849
classroom,0.05,0.8,0.2,0.998187974417,0.968789872738,4.79846924596,0.967034400704,0.0311535737125,0,0.00181202558348
classroom,0.05,0.8,0.8,0.999801135408,0.998159721073,4.98736887357,0.997961222448,0.0018399129604,0,0.000198864591931
classroom,0.15,0.2,0.2,0.999999974421,0.999995541352,4.99997304348,0.999995515774,4.45864759521e-06,0,2.55788950021e-08
classroom,0.15,0.2,0.8,0.999999998885,0.999999849437,4.9999990877,0.999999848322,1.50563053079e-07,0,1.11533149383e-09
classroom,0.15,0.5,0.5,0.999999999355,0.999999547757,4.99999728138,0.999999547112,4.52242722423e-07,0,6.45476005978e-10
classroom,0.15,0.8,0.2,0.999999999334,0.999998512669,4.99999107069,0.999998512003,1.48733053907e-06,0,6.66003030503e-10
classroom,0.15,0.8,0.8,0.999999999937,0.999999915314,4.99999949138,0.999999915251,8.46863459305e-08,0,6.30964169801e-11
classroom,0.45,0.2,0.2,1,1,5,1,0,0,0
classroom,0.45,0.2,0.8,1,1,5,1,0,0,0
classroom,0.45,0.5,0.5,1,1,5,1,0,0,0
classroom,0.45,0.8,0.2,1,1,5,1,0,0,0
classroom,0.45,0.8,0.8,1,1,5,1,0,0,0
classroom,1,0.2,0.2,1,1,5,1,0,0,0
classroom,1,0.2,0.8,1,1,5,1,0,0,0
classroom,1,0.5,0.5,1,1,5,1,0,0,0
classroom,1,0.8,0.2,1,1,5,1,0,0,0
classroom,1,0.8,0.8,1,1,5,1,0,0,0
classroom,1.5,0.2,0.2,1,1,5,1,0,0,0
classroom,1.5,0.2,0.8,1,1,5,1,0,0,0
classroom,1.5,0.5,0.5,1,1,5,1,0,0,0
classroom,1.5,0.8,0.2,1,1,5,1,0,0,0
classroom,1.5,0.8,0.8,1,1,5,1,0,0,0
sport,0.05,0.2,0.2,0.752819311429,0.999952418958,5.5052462134,0.999952418958,0,0,4.7581042448e-05
sport,0.05,0.2,0.8,0.752819311429,0.999997026052,5.50561409617,0.999997026052,0,0,2.97394781257e-06
sport,0.05,0.5,0.5,0.924141819979,0.999975697292,5.84808737473,0.999975697292,0,0,2.43027079732e-05
sport,0.05,0.8,0.2,0.979891403866,0.999852430272,5.95859928248,0.999852430272,0,0,0.000147569728478
sport,0.05,0.8,0.8,0.979891403866,0.999990775616,5.95970882717,0.999990775616,0,0,9.22438419226e-06
sport,0.15,0.2,0.2,0.997792546152,1,5.9955850923,1,0,0,7.06101843662e-14
sport,0.15,0.2,0.8,0.997792546152,1,5.9955850923,1,0,0,4.32986979604e-15
sport,0.15,0.5,0.5,0.999447221363,1,5.99889444273,1,0,0,4.50750547998e-14
sport,0.15,0.8,0.2,0.999861748024,1,5.99972349605,1,0,0,2.94986257643e-13
sport,0.15,0.8,0.8,0.999861748024,1,5.99972349605,1,0,0,1.84297022088e-14
sport,0.45,0.2,0.2,0.999999999323,1,5.99999999865,1,0,0,0
sport,0.45,0.2,0.8,0.999999999323,1,5.99999999865,1,0,0,0
sport,0.45,0.5,0.5,0.999999999831,1,5.99999999966,1,0,0,0
sport,0.45,0.8,0.2,0.999999999958,1,5.99999999992,1,0,0,0
sport,0.45,0.8,0.8,0.999999999958,1,5.99999999992,1,0,0,0
sport,1,0.2,0.2,1,1,6,1,0,0,0
sport,1,0.2,0.8,1,1,6,1,0,0,0
sport,1,0.5,0.5,1,1,6,1,0,0,0
sport,1,0.8,0.2,1,1,6,1,0,0,0
sport,1,0.8,0.8,1,1,6,1,0,0,0
sport,1.5,0.2,0.2,1,1,6,1,0,0,0
sport,1.5,0.2,0.8,1,1,6,1,0,0,0
sport,1.5,0.5,0.5,1,1,6,1,0,0,0
sport,1.5,0.8,0.2,1,1,6,1,0,0,0
sport,1.5,0.8,0.8,1,1,6,1,0,0,0
